Iteration,Discriminator Loss,Generator Loss
4780,1.361389,0.664806
4790,1.369085,0.646788
4800,1.347285,0.613938
4810,1.338936,0.628460
4820,1.337146,0.593221
4830,1.341361,0.606173
4840,1.292160,0.576756
4850,1.366139,0.708240
4860,1.334445,0.698978
4870,1.366924,0.577822
4880,1.371193,0.775043
4890,1.337588,0.629805
4900,1.390358,0.755331
4910,1.342145,0.634307
4920,1.365926,0.763736
4930,1.372204,0.616419
4940,1.358425,0.698306
4950,1.356319,0.616073
4960,1.345653,0.609417
4970,1.343853,0.710328
4980,1.344573,0.806295
4990,1.366220,0.697431
5000,1.330884,0.817493
5010,1.372152,0.565031
5020,1.332634,0.581123
5030,1.391896,0.676151
5040,1.318943,0.678244
5050,1.345215,0.726053
5060,1.351305,0.692144
5070,1.342540,0.702684
5080,1.353357,0.684746
5090,1.370979,0.572445
5100,1.358304,0.558775
5110,1.329703,0.710527
5120,1.379576,0.639597
5130,1.380986,0.636747
5140,1.359391,0.702988
5150,1.376835,0.727579
5160,1.296009,0.602650
5170,1.378329,0.793716
5180,1.359341,0.825059
5190,1.348972,0.714453
5200,1.347887,0.692841
5210,1.374207,0.632646
5220,1.361240,0.687991
5230,1.349453,0.725026
5240,1.357521,0.655911
5250,1.357902,0.624377
5260,1.326224,0.694595
5270,1.334464,0.742410
5280,1.367493,0.766490
5290,1.394541,0.711157
5300,1.332166,0.722231
5310,1.363134,0.630435
5320,1.390666,0.770825
5330,1.349162,0.700205
5340,1.362981,0.714544
5350,1.356995,0.665579
5360,1.337992,0.698221
5370,1.365370,0.605131
5380,1.352828,0.721272
5390,1.356640,0.589557
5400,1.340914,0.614013
5410,1.313675,0.548452
5420,1.354085,0.724177
5430,1.347775,0.809304
5440,1.319469,0.709758
5450,1.375420,0.664360
5460,1.356379,0.671015
5470,1.363313,0.586506
5480,1.312880,0.646333
5490,1.339507,0.642685
5500,1.363221,0.855630
5510,1.338080,0.688406
5520,1.331672,0.546098
5530,1.320268,0.553446
